Display Year,Event,Region,Category,Year
1945 CE,Atomic bombings of Hiroshima and Nagasaki,Japan,Warfare,1945
1947 CE,Independence and Partition of India,India/Pakistan,Politics,1947
1948 CE,Establishment of the State of Israel,Middle East,Politics,1948
1948 CE,Universal Declaration of Human Rights,Global,Law,1948
1949 CE,Communist Revolution in China,China,Politics,1949
1949 CE,Formation of NATO,Global,Politics,1949
1950 CE,Korean War begins,Korea,Warfare,1950
1950 CE,Korean War begins,Korea,Warfare,1950
1953 CE,"DNA structure discovered (Watson, Crick, Franklin)",UK,Science,1953
1953 CE,Conquest of Mount Everest (Hillary & Norgay),Nepal,Exploration,1953
1954 CE,Brown v. Board of Education (End of segregation in US schools),USA,Law,1954
1955 CE,Bandung Conference (Non-Aligned Movement),Indonesia,Politics,1955
1956 CE,Suez Crisis,Egypt,Warfare,1956
1957 CE,Launch of Sputnik 1 (Space Age begins),USSR,Technology,1957
1960 CE,Year of Africa (17 nations gain independence),Africa,Politics,1960
1960 CE,First televised US Presidential debate (Kennedy vs Nixon),USA,Culture,1960
1961 CE,Construction of the Berlin Wall; Yuri Gagarin in space,Germany/USSR,Politics,1961
1962 CE,Cuban Missile Crisis,Cuba/USA/USSR,Politics,1962
1963 CE,Assassination of John F. Kennedy,USA,Politics,1963
1964 CE,U.S. Civil Rights Act signed,USA,Politics,1964
1964 CE,Nelson Mandela sentenced to life imprisonment,South Africa,Politics,1964
1967 CE,The Six-Day War,Middle East,Warfare,1967
1967 CE,First successful human heart transplant,South Africa,Science,1967
1968 CE,Prague Spring,Czechoslovakia,Politics,1968
1969 CE,Apollo 11 Moon Landing,Space,Exploration,1969
1970 CE,First Earth Day,Global,Environment,1970
1971 CE,End of the Gold Standard in the US,USA,Economics,1971
1972 CE,Munich Olympics massacre,Germany,Warfare,1972
1973 CE,OPEC Oil Embargo,Global,Economics,1973
1975 CE,End of the Vietnam War,Vietnam,Warfare,1975
1977 CE,Release of the original 'Star Wars',Global,Culture,1977
1978 CE,Camp David Accords,USA/Middle East,Politics,1978
1979 CE,Iranian Revolution,Iran,Politics,1979
1980 CE,Smallpox officially declared eradicated,Global,Science,1980
1981 CE,First Space Shuttle flight (Columbia),USA,Technology,1981
1982 CE,Falklands War,South Atlantic,Warfare,1982
1984 CE,Bhopal Gas Tragedy,India,Disaster,1984
1986 CE,Chernobyl Nuclear Disaster,USSR,Disaster,1986
1986 CE,Space Shuttle Challenger disaster,USA,Disaster,1986
1989 CE,Fall of the Berlin Wall,Germany,Politics,1989
1990 CE,Release of Nelson Mandela,South Africa,Politics,1990
1990 CE,Hubble Space Telescope launched,Space,Science,1990
1991 CE,Dissolution of the Soviet Union; End of Cold War,Global,Politics,1991
1992 CE,Maastricht Treaty signed (Founding of EU),Europe,Law,1992
1992 CE,Earth Summit in Rio de Janeiro,Global,Environment,1992
1993 CE,Oslo Accords signed,Middle East,Politics,1993
1994 CE,End of Apartheid in South Africa,South Africa,Politics,1994
1994 CE,Rwandan Genocide begins,Rwanda,Warfare,1994
1996 CE,Dolly the Sheep (first cloned mammal),UK,Science,1996
1997 CE,Handover of Hong Kong to China,China,Politics,1997
1998 CE,Good Friday Agreement signed,Ireland/UK,Politics,1998
1999 CE,Introduction of the Euro,Europe,Economics,1999
2000 CE,International Space Station receives first crew,Space,Technology,2000
2001 CE,September 11 Terrorist Attacks,USA,Warfare,2001
2003 CE,Completion of the Human Genome Project,Global,Science,2003
2003 CE,Iraq War begins,Iraq,Warfare,2003
2004 CE,Indian Ocean Tsunami,Global,Disaster,2004
2005 CE,Hurricane Katrina,USA,Disaster,2005
2008 CE,Global Financial Crisis,Global,Economics,2008
2010 CE,Deepwater Horizon oil spill,Gulf of Mexico,Disaster,2010
2011 CE,Arab Spring begins,Middle East/North Africa,Politics,2011
2011 CE,Fukushima Daiichi nuclear disaster,Japan,Disaster,2011
2012 CE,Discovery of the Higgs Boson at CERN,Switzerland,Science,2012
2014 CE,Annexation of Crimea by Russia,Europe,Politics,2014
2015 CE,Paris Agreement on climate change,Global,Environment,2015
2016 CE,Brexit Referendum,UK,Politics,2016
2016 CE,Paris Agreement enters into force,Global,Environment,2016
2020 CE,COVID-19 declared a global pandemic,Global,Global,2020
2021 CE,James Webb Space Telescope launched,Space,Science,2021
2021 CE,United States Capitol attack,USA,Politics,2021
2022 CE,Invasion of Ukraine by Russia,Europe,Warfare,2022
2023 CE,Coronation of King Charles III,UK,Politics,2023
2024 CE,Total solar eclipse visible across North America,North America,Science,2024
